tsec,I_UV
-0.005,-175.7377856
-0.0049,-175.9234989
-0.0048,-175.6262453
-0.0047,-175.7895914
-0.0046,-176.2042791
-0.0045,-175.9421054
-0.0044,-175.5600807
-0.0043,-175.6130273
-0.0042,-176.0043859
-0.0041,-175.9410511
-0.004,-175.6735446
-0.0039,-175.6425275
-0.0038,-175.8695907
-0.0037,-175.9578759
-0.0036,-175.9014584
-0.0035,-175.6985628
-0.0034,-175.7146354
-0.0033,-176.0764074
-0.0032,-175.6613868
-0.0031,-175.5857402
-0.003,-175.9684614
-0.0029,-176.0071479
-0.0028,-175.914732
-0.0027,-175.7929022
-0.0026,-176.0855688
-0.0025,-176.2550616
-0.0024,-176.0302796
-0.0023,-175.8200289
-0.0022,-175.9630053
-0.0021,-175.8442579
-0.002,-175.9519696
-0.0019,-175.8296466
-0.0018,-175.7596596
-0.0017,-175.7626065
-0.0016,-175.8418782
-0.0015,-175.829326
-0.0014,-175.5228986
-0.0013,-175.779684
-0.0012,-175.8569953
-0.0011,-175.8080315
-0.001,-175.658594
-0.0009,-175.7187599
-0.0008,-175.929849
-0.0007,-175.831866
-0.0006,-175.8287587
-0.0005,-175.7513058
-0.0004,-175.9729312
-0.0003,-175.8357686
-0.0002,-175.9116125
-0.0001,-175.9733936
1E-04,-168.7972745
0.0002,-168.8811886
0.0003,-169.22211
0.0004,-169.4277861
0.0005,-169.4624837
0.0006,-169.5347271
0.0007,-169.8601123
0.0008,-170.1303872
0.0009,-169.8580285
0.001,-170.2464957
0.0011,-170.3681529
0.0012,-170.8022054
0.0013,-170.3254776
0.0014,-170.7474649
0.0015,-171.0789721
0.0016,-170.8801392
0.0017,-171.3874216
0.0018,-171.2956777
0.0019,-171.4115521
0.002,-171.1918995
0.0021,-171.2846113
0.0022,-171.7294281
0.0023,-171.8765906
0.0024,-171.8564058
0.0025,-171.698183
0.0026,-172.0740178
0.0027,-172.0638391
0.0028,-171.776086
0.0029,-171.9149564
0.003,-172.0848561
0.0031,-172.3664502
0.0032,-172.2394847
0.0033,-172.1868834
0.0034,-172.1691278
0.0035,-172.4277689
0.0036,-172.258085
0.0037,-172.5456407
0.0038,-172.4257899
0.0039,-172.2692871
0.004,-172.7344243
0.0041,-172.4684405
0.0042,-172.7044554
0.0043,-172.7867789
0.0044,-172.6606581
0.0045,-172.8237021
0.0046,-172.9270858
0.0047,-172.9582815
0.0048,-172.5199505
0.0049,-172.9529795
0.005,-173.2258806
