wavenumber,intensity
505,1.67
515,1.67
525,1.97
535,2.2
545,1.96
555,2.21
565,2.01
575,2.13
585,1.61
595,1.19
605,1.36
615,0.54
625,0.864
635,0.365
645,0.0777
655,0.0573
665,0.0003
675,0.0496
685,0.0777
695,0.222
705,0.51
715,0.806
725,0.607
735,1.32
745,1.44
755,2.37
765,2.95
775,3.03
785,3.15
795,2.74
805,3.09
815,3.2
825,3.19
835,3.23
845,3.16
855,3.05
865,3.17
875,3.1
885,3.04
895,3.1
905,3.01
915,3.03
925,2.93
935,2.95
945,2.81
955,2.81
965,2.81
975,2.67
985,2.72
995,2.61
1005,2.31
1015,1.82
1025,1.46
1035,1.37
1045,1.51
1055,1.11
1065,1.78
1075,2.18
1085,2.22
1095,2.18
1105,2.1
1115,2.07
1125,1.99
1135,1.79
1145,1.88
1155,1.79
1165,1.72
1175,1.52
1185,1.52
1195,1.52
1205,1.67
1215,1.23
1225,1.15
1235,1.26
1245,0.906
1255,0.815
1265,0.418
1275,0.455
1285,0.411
1295,0.359
1305,0.207
1315,0.296
1325,0.371
1335,0.237
1345,0.231
1355,0.28
1365,0.173
1375,0.18
1385,0.181
1395,0.122
1405,0.182
1415,0.098
1425,0.12
1435,0.0907
1445,0.122
1455,0.0569
1465,0.0917
1475,0.0613
1485,0.0658
1495,0.0528
