T(degC),P(mmHg),O3(ppm),SO2(pub),PM25(ug/m3),category
25.454286,760.09322,0.03206,0.729258,3.615652,2.0
22.649051,757.596215,0.041777,1.102536,7.157143,2.0
22.9,762.258065,0.037335,-0.014797,5.760714,2.0
21.698305,749.525424,0.040787,0.640864,7.676271,2.0
20.038462,761.871795,0.035155,0.408544,8.889744,2.0
20.696154,765.442308,0.031983,0.064742,12.130769,2.0
23.137931,765.362069,0.03902,5.619105,7.787931,2.0
21.57476,765.271565,0.035841,-0.16345,7.281111,2.0
20.307407,756.59633,0.035431,0.637294,9.906461,2.0
20.372191,766.550562,0.031246,1.94765,8.817465,2.0
19.383871,761.483871,0.038771,0.196973,7.216667,1.0
20.128696,664.078261,0.041992,0.461103,10.90896,1.0
19.513793,663.931034,0.044374,0.466399,8.698276,1.0
21.077778,698.434783,0.044284,0.237875,6.795822,2.0
19.094828,745.672414,0.04638,0.52421,8.817241,2.0
25.162295,757.57377,0.048014,0.734988,13.618182,1.0
17.64,746.65,0.042897,0.118571,10.696947,2.0
18.886667,753.141667,0.040508,1.084621,8.168696,1.0
15.366667,748.530612,0.046996,0.167238,12.916338,2.0
19.478151,761.521008,0.039357,1.685897,9.555833,1.0
18.922222,759.363636,0.041274,1.65023,9.234234,1.0
23.183333,731.216667,0.04809,0.810832,7.148795,2.0
17.659794,747.701754,0.036318,1.115311,12.125714,2.0
16.756,738.92,0.03782,0.315441,11.873885,2.0
17.75136,760.694864,0.039911,0.318724,11.232424,2.0
19.331373,736.882353,0.050039,0.191454,12.888889,2.0
18.84375,748.854167,0.0369,0.377215,12.618966,2.0
15.993333,749.034483,0.033497,0.478374,8.795455,2.0
18.561111,729.037037,0.053702,0.410827,12.299174,2.0
18.239655,746.583333,0.046571,0.369133,12.13526,2.0
18.0225,764.075,0.038057,1.399636,9.825079,1.0
17.2,757.470588,0.040498,1.064749,10.219298,1.0
15.6,733.885246,0.038478,0.359233,9.222556,2.0
14.455102,628.10101,0.045138,0.802656,6.117544,2.0
15.950862,752.706897,0.04369,0.976313,8.739344,2.0
15.451261,742.890756,0.042825,0.269482,8.716239,2.0
14.616667,733.433333,0.046111,0.219373,9.544298,2.0
16.982787,764.057377,0.037737,0.302249,9.526036,1
17.477869,757.918033,0.038327,0.378004,10.619288,2.0
15.098361,759.54918,0.039643,0.072746,7.752066,1.0
13.97234,735.75,0.045484,0.257223,8.304638,1.0
20.974468,708.62766,0.04312,1.501572,6.804545,2.0
15.259184,751.418367,0.04343,0.493386,9.678804,2.0
18.465574,752.147541,0.04717,0.57915,34.894872,2.0
13.653097,743.619469,0.044088,0.160358,9.70177,1.0
13.704255,755.106383,0.04128,0.30479,10.497872,1.0
15.294737,765.798246,0.041893,1.073344,7.114912,2.0
16.127869,733.972678,0.041741,0.69557,8.102732,1.0
16.317742,764.008065,0.039052,0.986482,7.683065,2.0
15.344554,759.019802,0.03245,0.289331,12.493557,2.0
12.4075,731.725,0.046616,0.613701,8.0825,1.0
15.494792,757.104167,0.040647,0.585864,8.2136,2.0
14.799174,750.975207,0.045769,1.294409,10.178512,1.0
13.754128,752.59633,0.044113,0.623536,10.619266,1.0
13.767213,752.47541,0.046699,0.904424,11.141279,1.0
12.309836,736.47541,0.042264,0.084287,9.335897,1.0
11.785841,740.274336,0.042318,0.488081,8.270085,2.0
13.082645,747.325,0.027808,1.413917,11.047851,2.0
12.231667,748.85,0.04512,1.010271,9.062874,2.0
12.725217,745.513043,0.042675,3.591946,8.546957,1.0
15.01,750.166667,0.040168,1.791425,8.93,1.0
12.418033,745.737705,0.04107,0.651549,9.116102,1.0
12.52314,728.793388,0.041635,0.824884,8.382645,1.0
14.233898,747.932203,0.040625,0.958709,9.126891,1.0
16.365546,758.932773,0.042241,0.603676,10.692857,2.0
16.648621,749.693103,0.042925,2.499681,10.311798,2.0
12.803361,760.855319,0.041681,2.098848,9.295775,2.0
14.384167,757.133333,0.043479,0.644157,11.543143,2.0
11.539669,749.305785,0.047439,2.307829,9.758678,1.0
12.460684,741.880342,0.045527,1.002093,9.530769,2.0
13.792035,753.256637,0.044627,0.534883,9.533746,2.0
14.245455,734.777778,0.042064,1.961298,8.657895,2.0
13.298387,739.0,0.043967,2.615111,10.563793,2.0
12.690833,749.226891,0.042749,1.704416,10.526667,2.0
13.308791,759.722222,0.044311,1.363957,9.423009,2.0
13.212613,745.09009,0.042876,3.561001,9.475676,1.0
11.893388,772.61157,0.045015,0.409264,7.255462,1.0
13.165517,744.551724,0.044986,1.578397,11.036364,2.0
11.373554,749.454545,0.041562,0.869081,10.757522,1.0
11.561157,645.966942,0.041259,0.508023,10.052368,1.0
11.711927,763.444444,0.040449,0.49575,7.775701,2.0
11.862712,730.661017,0.040473,1.588393,8.837288,1.0
23.28125,761.0625,0.042432,1.014565,9.632121,2.0
12.975806,630.693548,0.04371,1.892168,8.853333,2.0
11.169,622.26,0.048745,1.515295,7.315574,2.0
10.981188,742.49505,0.046983,2.814053,11.834743,2.0
13.278571,761.904762,0.043612,1.960931,11.558333,2.0
