SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,TEMP,SIG305,SIG312,SIG320,R305_312,R312_320,STD305_312,STD312_320
8442,9/23/2008,22:27:48,37.873,-122.259,95,1003,51.11,19.3,185,401.43,320.09,0.4609,1.2541,0.003,0.001
8442,9/23/2008,22:28:01,37.873,-122.259,95,1003,51.14,19.4,184.01,399.2,319.52,0.461,1.2494,0.008,0.007
8442,9/23/2008,22:28:12,37.873,-122.259,95,1003,51.17,19.6,182.89,398.63,318.07,0.4588,1.2533,0.008,0.003
8442,9/23/2008,22:28:23,37.873,-122.259,95,1003,51.2,19.7,182.96,400.5,319.03,0.4568,1.2554,0.003,0.002
8442,9/23/2008,22:30:09,37.873,-122.259,95,1004,51.47,20.9,177.34,393.5,314.69,0.4507,1.2504,0.008,0.004
8442,9/23/2008,22:30:30,37.873,-122.259,95,1004,51.52,21.1,176.89,391.53,313.84,0.4518,1.2475,0.005,0.004
8442,9/23/2008,22:30:48,37.873,-122.259,95,1004,51.57,21.3,176.2,391.03,313.47,0.4506,1.2474,0.004,0.003
8442,9/23/2008,22:31:02,37.873,-122.259,95,1004,51.6,21.4,175.77,390.23,313.17,0.4504,1.2461,0.006,0.002
8442,9/23/2008,22:35:00,37.873,-122.259,95,1004,52.21,23.5,166.19,375.52,303.72,0.4426,1.2364,0.005,0.003
8442,10/16/2008,17:30:06,37.873,-122.259,95,1008,57.89,18.6,98.96,259.39,226.3,0.3816,1.1462,0.014,0.006
8442,10/16/2008,17:30:19,37.873,-122.259,95,1008,57.86,18.6,99.78,260.61,227.07,0.3829,1.1477,0.004,0.004
8442,10/16/2008,17:30:30,37.873,-122.259,95,1008,57.83,18.7,99.45,261.98,227.34,0.3796,1.1524,0.004,0.002
8442,10/16/2008,17:30:41,37.873,-122.259,95,1008,57.81,18.7,99.96,261.78,227.72,0.3819,1.1496,0.005,0.006
8442,10/16/2008,17:30:52,37.873,-122.259,95,1008,57.79,18.8,99.27,262.04,227.8,0.3788,1.1503,0.01,0.007
8442,10/16/2008,17:31:03,37.873,-122.259,95,1008,57.76,18.8,99.78,262.56,227.39,0.38,1.1546,0.013,0.001
8442,10/16/2008,17:31:16,37.873,-122.259,95,1008,57.73,18.9,100.37,263.95,228.68,0.3803,1.1542,0.005,0.002
8442,10/16/2008,17:31:27,37.873,-122.259,95,1008,57.71,18.9,101.11,263.93,229.02,0.3831,1.1524,0.002,0.002
8442,10/16/2008,17:31:38,37.873,-122.259,95,1009,57.68,18.9,100.94,266.03,229.93,0.3794,1.157,0.005,0.001
8442,10/16/2008,17:31:49,37.873,-122.259,95,1009,57.66,19,101.84,266.59,230.48,0.382,1.1567,0.003,0.001
8442,10/16/2008,17:32:01,37.873,-122.259,95,1009,57.63,19,101.8,263.73,230.01,0.386,1.1466,0.003,0.003
8442,11/13/2008,21:00:06,37.873,-122.259,95,1010,58.25,19.4,144.01,332.7,276.04,0.4328,1.2053,0.006,0.004
8442,11/13/2008,21:00:18,37.873,-122.259,95,1010,58.26,19.5,143.42,333.08,276.11,0.4306,1.2064,0.008,0.005
8442,11/13/2008,21:00:28,37.873,-122.259,95,1010,58.27,19.5,142.96,332.55,275.29,0.4299,1.208,0.002,0.003
8442,11/13/2008,21:01:02,37.873,-122.259,95,1011,58.31,19.8,141.39,324.61,275.82,0.4356,1.1768,0.014,0.023
8442,11/13/2008,21:01:14,37.873,-122.259,95,1011,58.32,19.9,141.89,332.56,276.03,0.4267,1.2048,0.004,0.002
8442,11/13/2008,21:01:27,37.873,-122.259,95,1011,58.34,19.9,142.04,331.62,275.74,0.4283,1.2026,0.005,0.003
8442,11/13/2008,21:01:39,37.873,-122.259,95,1011,58.35,20,141.87,332.96,276.76,0.4261,1.2031,0.002,0.001
8442,11/13/2008,21:01:56,37.873,-122.259,95,1011,58.37,20,141.56,331.36,275.3,0.4272,1.2036,0.007,0.004
8442,11/13/2008,21:02:09,37.873,-122.259,95,1011,58.38,20,140.47,333.14,276.04,0.4216,1.2069,0.003,0.002
8442,11/13/2008,21:02:20,37.873,-122.259,95,1011,58.4,20,140.45,331.47,275.59,0.4237,1.2028,0.006,0.002
8442,11/13/2008,21:02:35,37.873,-122.259,95,1011,58.41,20.1,140.44,332.17,275.38,0.4228,1.2062,0.002,0.002
8442,11/13/2008,21:02:47,37.873,-122.259,95,1011,58.42,20.1,140.41,331.77,275.6,0.4232,1.2038,0.002,0
8442,12/8/2008,21:41:50,37.873,-122.259,95,1007,65.13,18.6,21.74,104.33,116.15,0.2083,0.8982,0.01,0.007
8442,12/8/2008,21:42:05,37.873,-122.259,95,1007,65.15,18.6,22.12,105.92,118.04,0.2088,0.8973,0.002,0.001
8442,12/8/2008,21:42:16,37.873,-122.259,95,1007,65.16,18.6,22.29,106.16,119.06,0.21,0.8917,0.014,0.011
8442,12/8/2008,21:42:27,37.873,-122.259,95,1007,65.18,18.6,22.53,108.67,120.79,0.2073,0.8997,0.003,0.001
8442,12/8/2008,21:42:38,37.873,-122.259,95,1007,65.19,18.6,22.79,108.91,121.89,0.2092,0.8936,0.002,0.002
8442,12/8/2008,21:42:50,37.873,-122.259,95,1007,65.21,18.5,22.66,107.95,121.22,0.2099,0.8905,0.006,0.005
8442,12/8/2008,21:43:02,37.873,-122.259,95,1007,65.23,18.5,22.44,108.15,120.92,0.2075,0.8944,0.005,0.002
8442,12/8/2008,21:43:13,37.873,-122.259,95,1007,65.24,18.5,22.24,105.94,119.54,0.2099,0.8862,0.01,0.009
8442,12/8/2008,21:43:24,37.873,-122.259,95,1007,65.26,18.5,21.95,105.67,118.36,0.2077,0.8927,0.006,0.004
8442,1/30/2009,20:14:06,37.873,-122.259,95,1014,55.35,20.3,128.2,336.55,290.86,0.3809,1.1571,0.002,0.002
8442,1/30/2009,20:14:17,37.873,-122.259,95,1014,55.35,20.4,127.67,334.6,290.26,0.3816,1.1528,0.007,0.006
8442,1/30/2009,20:14:29,37.873,-122.259,95,1014,55.35,20.4,127.73,335.9,290.22,0.3803,1.1574,0.001,0.001
8442,1/30/2009,20:14:40,37.873,-122.259,95,1014,55.35,20.5,127.18,335.61,289.51,0.379,1.1592,0.003,0.001
8442,1/30/2009,20:14:51,37.873,-122.259,95,1014,55.35,20.5,127.59,333.37,289.62,0.3828,1.1511,0.006,0.004
8442,1/30/2009,20:15:04,37.873,-122.259,95,1015,55.35,20.6,127.57,336.84,290.96,0.3787,1.1577,0.005,0.002
8442,1/30/2009,20:16:07,37.873,-122.259,95,1015,55.34,20.8,125.85,335.35,288.49,0.3753,1.1624,0.005,0.003
8442,1/30/2009,20:16:59,37.873,-122.259,95,1015,55.33,21,127.02,334.79,289.46,0.3794,1.1566,0.007,0.004
8442,1/30/2009,20:17:28,37.873,-122.259,95,1015,55.33,21.1,126.68,329.94,287.55,0.384,1.1474,0.005,0.006
8442,2/5/2010,21:21:05,37.867,-122.267,95,1000,55.32,17.6,29.06,80.8,70.56,0.3617,1.1465,0.139,0.02
8442,2/5/2010,21:21:20,37.867,-122.267,95,1000,55.33,17.7,23.3,67.76,63.28,0.3439,1.0708,0.009,0.009
8442,2/5/2010,21:23:46,37.867,-122.267,95,1000,55.48,18.1,13.64,40.83,37.06,0.3342,1.1018,0.008,0.012
8442,2/5/2010,21:24:03,37.867,-122.267,95,1001,55.49,18.2,90.24,271.96,247.76,0.3318,1.0977,0.004,0.004
8442,2/5/2010,21:24:17,37.867,-122.267,95,1001,55.51,18.2,100.07,298.97,274.58,0.3347,1.0888,0.008,0.003
8442,2/5/2010,21:25:19,37.867,-122.267,95,1000,55.57,18.4,57.75,176.71,153.99,0.3271,1.147,0.041,0.022
8442,2/5/2010,21:29:36,37.867,-122.267,95,1000,55.84,18.1,93.99,283.86,264.71,0.3312,1.0723,0.02,0.014
8442,2/5/2010,21:30:03,37.867,-122.267,95,999,55.87,18.1,44.29,127.48,124.29,0.3483,1.0232,0.029,0.064
8442,2/5/2010,21:30:29,37.867,-122.267,95,999,55.9,18.1,59.2,179.86,167.29,0.3291,1.0752,0.004,0.007
8442,2/5/2010,21:30:58,37.867,-122.267,95,999,55.94,18.2,21.89,61.39,60.13,0.3576,1.0161,0.018,0.05
8442,2/5/2010,21:38:23,37.867,-122.267,95,998,56.46,19.5,85.57,253.85,252.02,0.3372,1.0073,0.017,0.027
8442,2/5/2010,21:38:50,37.867,-122.267,95,999,56.49,19.5,63.16,200.3,184.78,0.3153,1.084,0.006,0.004
8442,2/9/2010,20:49:53,37.867,-122.267,95,1002,52.74,17.6,99.76,344.71,330.19,0.2894,1.044,0.001,0.002
8442,2/9/2010,20:50:11,37.867,-122.267,95,1002,52.75,17.7,99.16,345.14,330.69,0.2873,1.0437,0.003,0.001
